# nthreads  avg_rate       rms
      4       3853.1       61.8
      8       7170.8       77.0
     12      10410.2       71.4
     16      13727.4       77.3
     20      16988.3       95.9
     24      20120.9      144.5
     28      22689.3      157.9
     32      25160.8      311.7
     36      27153.9      122.9
     40      29532.9      197.1
     44      30878.3      195.1
     48      31534.3      215.8
     52      32433.0      424.7
     56      33224.6      308.0
     60      34457.5      143.8
     64      35310.4      168.3
     68      35930.8      274.9
     72      36623.5      110.7
     76      37240.7       75.0
     80      37704.4      154.0
     84      37062.7      360.5
     88      36397.6      469.7
