# nthreads  avg_rate       rms
      4          4.6        9.3
     12          6.0        2.2
     20         10.1        2.7
     28         14.6        3.7
     36         18.5        3.4
     44         22.6        4.0
     52         26.2        5.1
     60         31.7        5.1
     68         35.4        5.4
     76         37.4        5.4
     84         40.0        4.7
     92         43.5        3.5
    100         45.0        2.3
    108         48.0        6.5
    116         49.5        5.9
    124         52.6        9.7
    132         55.2        5.0
    140         56.5        5.7
    148         57.4        3.5
    156         58.8        4.7
    164         58.6        6.0
    172         60.4        6.9
    180         60.7        6.5
    188         61.6        4.3
    196         62.3        8.4
    204         63.8        6.6
    212         59.5        9.3
    220         59.4        9.3
    228         62.8        9.0
    236         58.5       10.5
    244         56.9        8.6
    252         54.5       11.1
    260         57.2       12.5
    268         58.2       11.0
