# nthreads  avg_rate       rms
      4          4.5        8.8
     12          6.2        1.5
     20         10.6        2.6
     28         14.4        2.3
     36         18.8        2.9
     44         23.0        4.1
     52         27.7        4.4
     60         31.3        2.5
     68         35.4        4.3
     76         38.4        1.7
     84         40.3        6.3
     92         43.7        6.1
    100         45.6        7.7
    108         47.6        4.2
    116         50.6        3.2
    124         52.9        4.2
    132         55.9        5.7
    140         56.8        5.1
    148         57.8        5.9
    156         58.3        4.8
    164         60.1        2.7
    172         60.4        4.2
    180         61.3        4.6
    188         62.2        4.6
    196         63.6        7.8
    204         64.0        4.9
    212         64.6        5.4
    220         64.2        8.4
    228         63.9        7.4
    236         62.4       10.8
    244         60.7        9.0
    252         62.2        7.4
    260         63.4       10.9
    268         63.9        9.7
