# nthreads  avg_rate       rms
      4         16.9        7.5
      8         28.2        1.0
     12         41.4        1.1
     16         55.3        1.5
     20         68.9        1.8
     24         82.7        2.7
     28         93.8        2.0
     32        106.4        3.2
     36        112.9        2.7
     40        121.4        3.3
     44        128.1        2.9
     48        131.0        3.0
     52        133.3        5.2
     56        136.5        2.3
     60        139.3        3.6
     64        140.4        2.7
     68        142.5        2.9
     72        143.4        4.0
     76        145.3        3.8
     80        148.4        3.4
