# nthreads  avg_rate       rms
      4          4.5        8.8
     12          6.2        1.1
     20         10.4        2.8
     28         14.7        2.1
     36         18.9        2.2
     44         23.0        3.7
     52         27.4        3.8
     60         31.1        2.3
     68         35.6        6.1
     76         38.5        4.6
     84         40.2        4.0
     92         44.1        4.9
    100         45.9        3.6
    108         48.5        4.0
    116         51.1        5.1
    124         53.9        3.6
    132         56.5        3.9
    140         57.9        5.1
    148         59.1        5.6
    156         60.3        5.8
    164         61.3        9.2
    172         61.7        8.3
    180         62.4        5.9
    188         63.6        3.7
    196         64.3        7.2
    204         66.8        6.7
    212         66.4        7.3
    220         65.4        3.6
    228         65.0        5.8
    236         64.4        5.2
    244         65.5        4.8
    252         66.3        5.9
    260         65.7        5.4
    268         67.9        6.3
