# nthreads     rate
      4         45.8
      4         11.0
      4         12.0
      4         11.0
      4         12.0
      4         12.0
      4         12.0
      4         11.0
      4         12.0
      4         11.0
      4         12.0
      4         12.0
      4         12.0
      4         12.0
      4         12.0
      8         22.0
      8         21.0
      8         20.0
      8         23.0
      8         19.0
      8         23.0
      8         19.0
      8         23.0
      8         22.0
      8         20.0
      8         22.0
      8         20.0
      8         24.0
      8         22.0
      8         21.0
     12         32.5
     12         31.0
     12         32.0
     12         31.0
     12         31.0
     12         33.0
     12         30.0
     12         30.0
     12         34.7
     12         30.0
     12         32.0
     12         29.0
     12         31.0
     12         32.9
     12         29.0
     16         43.5
     16         41.0
     16         41.4
     16         40.0
     16         43.0
     16         42.0
     16         40.0
     16         42.0
     16         42.0
     16         41.0
     16         42.0
     16         43.0
     16         43.0
     16         40.0
     16         41.0
     20         52.5
     20         52.0
     20         56.0
     20         52.0
     20         53.0
     20         50.0
     20         54.0
     20         50.0
     20         52.0
     20         52.0
     20         57.0
     20         48.9
     20         51.0
     20         50.0
     20         53.0
     24         61.0
     24         62.3
     24         58.0
     24         65.0
     24         54.0
     24         64.0
     24         59.0
     24         57.0
     24         59.0
     24         55.0
     24         63.0
     24         60.0
     24         57.0
     24         64.0
     24         54.0
     28         64.9
     28         60.9
     28         60.9
     28         67.9
     28         62.9
     28         60.0
     28         64.0
     28         63.0
     28         61.9
     28         66.9
     28         61.0
     28         63.0
     28         68.0
     28         63.0
     28         62.0
     32         67.5
     32         65.0
     32         65.0
     32         66.7
     32         65.9
     32         65.9
     32         66.9
     32         67.9
     32         64.5
     32         63.0
     32         70.0
     32         62.0
     32         71.0
     32         67.0
     32         65.0
     36         72.0
     36         71.0
     36         70.0
     36         69.0
     36         64.0
     36         72.0
     36         72.0
     36         70.0
     36         67.0
     36         72.0
     36         67.0
     36         65.0
     36         70.0
     36         68.0
     36         71.9
     40         73.0
     40         68.9
     40         69.0
     40         73.0
     40         73.0
     40         72.0
     40         75.0
     40         70.0
     40         72.9
     40         72.0
     40         69.0
     40         72.9
     40         70.9
     40         70.9
     40         67.9
     44         79.3
     44         75.0
     44         76.0
     44         79.0
     44         72.9
     44         73.6
     44         78.0
     44         70.0
     44         83.0
     44         72.0
     44         76.9
     44         74.0
     44         80.0
     44         70.0
     44         81.0
     48         75.4
     48         70.9
     48         86.9
     48         71.9
     48         78.6
     48         75.9
     48         78.9
     48         72.9
     48         79.9
     48         68.7
     48         81.9
     48         71.9
     48         78.9
     48         74.9
     48         81.9
