# nthreads  avg_rate       rms
      4         16.9        8.1
      8         28.3        1.4
     12         42.4        2.2
     16         56.1        1.4
     20         70.4        1.9
     24         84.0        2.0
     28         95.8        2.2
     32        106.5        2.3
     36        114.6        3.1
     40        125.0        2.8
     44        131.5        2.4
     48        136.0        1.9
     52        137.8        2.9
     56        143.3        2.5
     60        142.1        3.5
     64        145.7        3.1
     68        150.4        3.7
     72        153.5        3.0
     76        155.3        2.5
     80        158.4        2.1
