# nthreads  avg_rate       rms
      4          0.3        0.5
      8          0.2        0.4
     12          0.4        0.7
     16          0.6        0.7
     20          0.8        0.8
     24          0.9        0.8
     28          1.1        1.0
     32          1.2        1.0
     36          1.3        1.0
     40          1.2        1.0
     44          1.7        0.9
     48          1.2        1.0
     52          1.8        0.9
     56          1.2        0.8
     60          1.9        1.2
     64          1.6        0.9
     68          2.0        1.5
     72          1.7        1.6
     76          1.4        1.0
     80          2.0        1.5
