# nthreads  avg_rate       rms
      4          2.1        0.6
     12          5.7        2.2
     20          9.9        1.8
     28         13.9        2.3
     36         18.0        2.9
     44         21.9        3.1
     52         26.8        3.0
     60         31.0        3.5
     68         34.7        4.0
     76         37.4        4.7
     84         40.3        3.6
     92         42.5        5.0
    100         45.2        5.5
    108         47.6        6.3
    116         51.1        4.3
    124         53.3        3.6
    132         55.7        5.2
    140         57.5        5.8
    148         58.5        5.3
    156         59.6        4.6
    164         60.2        3.3
    172         60.4        5.7
    180         62.4        7.4
    188         62.7        6.1
    196         64.3        9.3
    204         64.7        7.6
    212         66.3        6.5
    220         66.4        7.7
    228         68.3        6.4
    236         69.3        7.1
    244         70.8        6.3
    252         70.1        9.8
    260         72.2        5.9
    268         71.8        6.8
