# nthreads  avg_rate       rms
      4          4.8       10.7
     12          6.2        1.7
     20         10.5        2.4
     28         14.3        2.0
     36         18.7        2.8
     44         23.1        3.5
     52         26.9        3.3
     60         31.4        2.0
     68         35.5        4.6
     76         37.8        3.2
     84         40.3        5.2
     92         43.1        5.5
    100         45.9        5.5
    108         47.4        5.8
    116         50.7        5.8
    124         53.2        5.5
    132         55.5        6.8
    140         57.6        4.3
    148         58.4        6.0
    156         59.0        7.3
    164         59.4        5.8
    172         60.9        5.8
    180         61.2        5.9
    188         61.8        6.0
    196         63.0        4.5
    204         63.7        7.1
    212         63.0        6.1
    220         64.6        6.1
    228         64.8       11.2
    236         64.5        5.7
    244         62.6        7.8
    252         62.5        7.7
    260         61.4        6.1
    268         62.6        6.1
