# nthreads  avg_rate       rms
      4         58.0        4.9
      8        111.4        1.5
     12        158.9        3.8
     16        215.1        2.9
     20        261.6        8.1
     24        288.8        7.0
     28        350.5        5.8
     32        384.9       19.9
     36        389.4       25.1
     40        468.4       10.9
     44        493.6        8.9
     48        488.9       10.7
     52        489.9        9.6
     56        499.5        7.0
     60        495.8        8.4
     64        497.6       14.6
     68        501.7        9.0
     72        507.8       14.5
     76        501.2       11.6
     80        507.7        7.7
