# nthreads  avg_rate       rms
      4          2.2        1.1
     12          5.4        2.3
     20          9.7        2.2
     28         13.7        3.6
     36         18.8        4.1
     44         22.1        3.9
     52         26.5        2.9
     60         30.6        4.7
     68         34.7        3.8
     76         38.3        2.0
     84         41.2        5.7
     92         43.0        3.5
    100         46.0        7.1
    108         48.4        3.2
    116         50.7        3.6
    124         53.4        8.7
    132         56.5        6.1
    140         58.3        4.0
    148         58.9        4.7
    156         59.7        6.3
    164         61.2        4.5
    172         61.7        5.9
    180         62.0        5.6
    188         63.8        6.3
    196         64.4        6.0
    204         65.5        5.2
    212         65.9        6.4
    220         67.4        8.0
    228         69.2        5.7
    236         70.0        5.8
    244         70.7        6.6
    252         72.3        9.7
    260         73.2        5.7
    268         73.7        6.1
