# nthreads  avg_rate       rms
      4       3827.1       64.6
      8       7096.7       79.9
     12      10482.1       60.0
     16      13871.8      101.7
     20      17202.3      113.9
     24      20173.9      111.3
     28      23100.8      107.7
     32      25449.6      160.4
     36      27668.4       95.0
     40      29598.0       96.6
     44      31351.2      112.7
     48      30608.5      827.5
     52      33013.3      150.3
     56      32927.2      544.2
     60      33908.7      194.5
     64      35565.1      210.8
     68      36187.1      150.9
     72      36674.6      109.1
     76      37210.5      116.6
     80      37591.4       57.8
     84      37166.3      194.8
     88      36577.0      262.2
