# nthreads  avg_rate       rms
      4          4.1        8.4
     12          5.9        1.3
     20          9.9        2.9
     28         14.1        2.9
     36         17.7        3.2
     44         21.7        4.9
     52         26.0        5.1
     60         29.8        4.5
     68         33.8        3.7
     76         36.1        4.1
     84         38.9        7.2
     92         41.5        5.1
    100         43.3        4.3
    108         45.8        3.3
    116         48.9        3.3
    124         50.6        5.7
    132         52.9        5.6
    140         54.6        6.3
    148         55.4        5.7
    156         56.8        5.1
    164         58.0        7.8
    172         58.9        6.6
    180         58.1        6.6
    188         60.4        6.4
    196         60.8        6.2
    204         61.7        5.6
    212         61.3        6.0
    220         62.4        5.8
    228         61.2        6.1
    236         59.5        7.0
    244         61.5        5.3
    252         61.2        7.4
    260         59.2       10.6
    268         59.2        9.3
