# nthreads  avg_rate       rms
      4         16.0        7.7
      8         28.0        1.8
     12         40.8        1.6
     16         51.8        1.3
     20         63.2        2.0
     24         76.3        2.4
     28         90.0        2.4
     32        102.4        3.3
     36        112.6        2.0
     40        121.1        2.1
     44        122.1        3.5
     48        126.1        3.1
     52        127.9        2.8
     56        130.2        3.0
     60        131.5        3.1
     64        135.6        2.5
     68        138.2        2.4
     72        139.6        3.4
     76        142.2        2.8
     80        143.9        3.6
