# nthreads  avg_rate       rms
      4         15.9        0.9
      8         31.6        1.3
     12         47.6        1.5
     16         63.5        1.8
     20         78.8        1.2
     24         95.0        2.6
     28        110.9        1.7
     32        126.5        1.8
     36        142.1        2.5
     40        158.0        1.7
     44        173.7        2.5
     48        189.4        3.5
     52        204.4        3.0
     56        221.3        3.7
     60        236.4        4.2
     64        253.1        3.1
     68        269.1        2.9
     72        283.2        4.4
     76        299.0        2.9
     80        316.4        3.1
     84        329.7        3.8
     88        346.8        5.9
     92        361.4        4.2
     96        377.3        2.6
    100        391.7        5.2
    104        406.2        3.2
    108        422.3        6.4
    112        437.4        4.4
    116        454.0        3.3
    120        469.8        3.1
    124        484.3        5.1
    128        500.7        4.4
    132        516.3        4.8
    136        526.4        4.8
    140        525.4       11.7
    144        519.8       11.2
    148        522.8       12.0
    152        519.4       10.0
    156        519.8        8.7
    160        511.8       12.6
    164        506.5       11.5
    168        501.5       11.9
    172        502.6       12.0
    176        498.1       11.7
    180        488.2       11.0
    184        488.3       11.4
    188        481.3        9.8
    192        475.3       13.6
    196        472.2       10.1
    200        470.1       12.3
    204        463.4        8.0
    208        458.4        9.6
    212        459.1       13.5
    216        451.3       11.8
    220        450.6       10.6
    224        434.6       15.4
    228        432.6       11.6
    232        430.0       14.4
    236        427.5       12.8
    240        421.5       12.6
    244        410.9       14.4
    248        407.7        5.8
    252        410.0        8.9
    256        402.0       10.6
    260        394.3        9.4
    264        388.3       10.2
    268        384.4       11.5
    272        385.0       11.7
