# nthreads  avg_rate       rms
      4          4.2        8.2
     12          6.0        1.7
     20         10.4        2.3
     28         14.4        3.6
     36         18.7        2.0
     44         22.6        2.8
     52         26.9        3.6
     60         31.4        2.7
     68         36.0        2.5
     76         38.4        3.5
     84         40.6        5.2
     92         43.2        4.5
    100         46.5        6.2
    108         48.7        5.6
    116         51.0        3.3
    124         53.9        3.9
    132         56.7        6.8
    140         58.4        5.7
    148         58.7        5.4
    156         60.1        5.2
    164         61.0        5.6
    172         62.2        6.1
    180         63.0        4.6
    188         63.4        5.8
    196         63.8        4.4
    204         65.2        4.2
    212         66.7        7.5
    220         66.8        2.7
    228         65.3        4.6
    236         65.6        3.9
    244         66.4        6.0
    252         65.4        6.7
    260         67.5        9.2
    268         67.5        8.3
