# nthreads  avg_rate       rms
      4         15.7        1.2
      8         31.0        1.0
     12         46.0        1.6
     16         61.6        2.6
     20         77.3        2.0
     24         92.7        1.9
     28        108.0        3.8
     32        123.0        2.3
     36        138.1        2.6
     40        154.5        3.6
     44        169.1        3.0
     48        185.2        2.9
     52        199.6        4.3
     56        216.1        3.7
     60        231.0        2.6
     64        246.4        5.1
     68        262.3        6.7
     72        276.2        4.8
     76        291.4        3.9
     80        307.9        4.2
     84        321.3        4.5
     88        336.6        4.6
     92        349.7        5.8
     96        367.6        2.9
    100        381.0        8.0
    104        394.5        7.5
    108        411.7        4.0
    112        425.6        6.7
    116        437.8        6.3
    120        457.8        5.5
    124        455.3       17.4
    128        436.3       12.7
    132        430.1       20.1
    136        432.6       21.6
    140        443.5       18.1
    144        435.9       12.0
    148        440.9       28.8
    152        415.8       44.3
    156        447.4       19.1
    160        411.5       41.5
    164        379.1       28.2
    168        397.0       41.9
    172        404.4       45.8
    176        410.9       35.1
    180        415.6       36.7
    184        404.1       45.2
    188        360.4       25.9
    192        426.6       42.0
    196        415.3       46.7
    200        442.1       31.7
    204        367.4       26.1
    208        404.6       43.3
    212        395.8       36.1
    216        394.2       39.5
    220        386.0       39.0
    224        408.2       39.0
    228        391.2       35.9
    232        389.4       43.7
    236        390.9       44.2
    240        390.0       43.4
    244        384.2       38.4
    248        440.0       29.2
    252        365.8       20.5
    256        400.9       32.6
    260        384.5       30.4
    264        375.6       30.2
    268        403.4       37.9
    272        396.6       34.7
