# nthreads  avg_rate       rms
      4          0.0        0.2
     12          0.0        0.0
     20          0.0        0.0
     28          0.0        0.0
     36          0.0        0.0
     44          0.0        0.0
     52          0.1        0.2
     60          0.1        0.3
     68          0.1        0.2
     76          0.2        0.4
     84          0.5        0.8
     92          0.4        0.5
    100          0.3        0.4
    108          0.6        0.6
    116          0.2        0.4
    124          0.6        0.7
    132          0.2        0.4
    140          0.2        0.4
    148          0.4        0.5
    156          0.5        0.8
    164          0.4        0.6
    172          0.3        0.4
    180          0.5        0.6
    188          0.6        0.7
    196          0.6        0.7
    204          0.9        1.1
    212          0.5        0.7
    220          0.4        0.5
    228          0.9        0.9
    236          0.3        0.5
    244          0.6        0.9
    252          0.7        0.7
    260          0.4        0.5
    268          0.5        0.5
