# nthreads  avg_rate       rms
      4          2.0        1.6
     12          5.7        2.4
     20          9.7        2.4
     28         13.9        2.9
     36         17.7        3.9
     44         22.4        4.0
     52         26.1        6.5
     60         30.7        5.5
     68         34.8        2.7
     76         37.6        2.8
     84         40.4        6.1
     92         42.5        6.3
    100         44.7        4.9
    108         48.5        3.7
    116         50.9        4.2
    124         53.2        4.9
    132         56.0        7.3
    140         57.3        7.1
    148         58.6        3.6
    156         59.4        5.9
    164         60.8        5.4
    172         60.8        6.3
    180         61.7        9.1
    188         62.0        5.2
    196         63.8        6.6
    204         64.4        8.5
    212         65.8        3.7
    220         67.0        5.6
    228         68.1        3.7
    236         68.7        4.1
    244         70.3        8.1
    252         69.8        6.8
    260         71.3        8.2
    268         72.2        5.8
