# nthreads     rate
      4         45.4
      4         14.8
      4         14.0
      4         14.0
      4         14.0
      4         15.0
      4         13.0
      4         15.0
      4         13.0
      4         14.0
      4         15.0
      4         14.0
      4         13.0
      4         14.0
      4         14.0
      8         26.0
      8         28.0
      8         29.0
      8         26.2
      8         29.0
      8         30.0
      8         25.0
      8         29.0
      8         27.0
      8         31.0
      8         26.0
      8         31.0
      8         27.0
      8         28.0
      8         28.0
     12         36.5
     12         38.0
     12         37.0
     12         38.0
     12         38.0
     12         34.0
     12         40.0
     12         37.0
     12         37.0
     12         35.0
     12         40.0
     12         38.0
     12         36.0
     12         40.0
     12         37.0
     16         40.5
     16         42.0
     16         44.0
     16         38.0
     16         46.0
     16         43.0
     16         39.0
     16         43.0
     16         42.0
     16         44.0
     16         40.0
     16         46.0
     16         38.0
     16         43.0
     16         40.0
     20         46.0
     20         43.0
     20         48.0
     20         48.0
     20         45.0
     20         46.0
     20         45.0
     20         50.0
     20         43.0
     20         44.0
     20         52.0
     20         45.0
     20         44.0
     20         47.0
     20         46.0
     24         54.5
     24         57.0
     24         56.0
     24         55.0
     24         54.0
     24         55.0
     24         57.0
     24         57.0
     24         53.0
     24         56.0
     24         61.0
     24         52.0
     24         55.0
     24         55.0
     24         56.0
     28         68.5
     28         66.0
     28         61.0
     28         69.0
     28         67.0
     28         67.0
     28         66.0
     28         66.0
     28         61.0
     28         67.0
     28         68.0
     28         70.0
     28         62.0
     28         68.0
     28         63.0
     32         70.5
     32         73.0
     32         68.0
     32         69.0
     32         73.0
     32         72.0
     32         65.0
     32         72.0
     32         72.0
     32         70.0
     32         70.0
     32         70.0
     32         72.0
     32         67.0
     32         71.0
     36         72.0
     36         71.0
     36         71.0
     36         71.0
     36         74.0
     36         74.0
     36         71.0
     36         75.0
     36         70.0
     36         71.0
     36         74.0
     36         75.0
     36         73.0
     36         67.0
     36         75.0
     40         74.0
     40         76.0
     40         74.0
     40         70.0
     40         72.0
     40         75.0
     40         75.0
     40         74.0
     40         68.0
     40         76.0
     40         73.0
     40         73.0
     40         80.0
     40         73.0
     40         69.0
     44         83.5
     44         92.0
     44         77.0
     44         89.0
     44         85.0
     44         85.0
     44         86.0
     44         87.0
     44         87.0
     44         86.0
     44         83.0
     44         90.0
     44         83.0
     44         88.0
     44         85.0
     48        101.0
     48        105.0
     48         96.0
     48         98.0
     48        103.0
     48         99.0
     48        105.0
     48         95.0
     48        101.0
     48        101.0
     48        102.0
     48        105.0
     48        100.0
     48         98.0
     48        101.0
     52        108.0
     52        108.0
     52        115.0
     52        104.0
     52        110.0
     52        111.0
     52        112.0
     52        105.0
     52        111.0
     52        112.0
     52        108.0
     52        109.0
     52        111.0
     52        113.0
     52        113.0
     56        111.9
     56        111.0
     56        117.0
     56        119.0
     56        112.0
     56        113.0
     56        114.9
     56        112.0
     56        117.0
     56        114.0
     56        120.0
     56        113.0
     56        116.0
     56        113.0
     56        110.0
     60        120.4
     60        119.0
     60        110.0
     60        124.0
     60        117.0
     60        125.9
     60        120.0
     60        114.0
     60        118.0
     60        118.0
     60        116.0
     60        124.0
     60        121.0
     60        115.0
     60        112.0
     64        131.4
     64        132.0
     64        129.0
     64        127.0
     64        131.0
     64        131.9
     64        131.0
     64        129.0
     64        128.0
     64        125.0
     64        132.0
     64        130.0
     64        128.0
     64        131.0
     64        126.0
     68        134.9
     68        140.0
     68        140.0
     68        137.0
     68        143.0
     68        140.0
     68        139.0
     68        133.0
     68        143.0
     68        138.9
     68        136.0
     68        141.9
     68        140.9
     68        136.0
     68        137.9
     72        145.4
     72        142.0
     72        137.0
     72        145.0
     72        144.0
     72        143.0
     72        149.0
     72        140.0
     72        145.0
     72        144.0
     72        141.0
     72        142.0
     72        147.0
     72        141.0
     72        147.0
     76        145.0
     76        147.0
     76        138.0
     76        146.0
     76        149.9
     76        145.0
     76        149.0
     76        150.0
     76        142.0
     76        143.0
     76        148.0
     76        148.0
     76        143.0
     76        146.0
     76        146.0
     80        145.9
     80        152.8
     80        143.9
     80        149.9
     80        144.7
     80        150.8
     80        144.9
     80        149.9
     80        147.9
     80        146.9
     80        152.8
     80        141.9
     80        145.9
     80        149.8
     80        141.9
