# nthreads  avg_rate       rms
      4          4.8        9.9
     12          6.0        1.7
     20         10.3        1.9
     28         14.6        2.8
     36         19.1        2.3
     44         22.7        3.7
     52         26.8        3.2
     60         31.8        3.2
     68         35.6        3.4
     76         37.6        6.1
     84         41.3        4.4
     92         42.9        2.4
    100         45.6        3.6
    108         48.2        7.6
    116         51.0        3.8
    124         54.0        5.9
    132         56.7        5.7
    140         57.7        4.5
    148         58.9        9.8
    156         59.7        4.5
    164         60.8        7.8
    172         62.1        7.8
    180         63.1        5.2
    188         63.1        7.9
    196         63.3        8.7
    204         65.3        6.5
    212         66.7        4.0
    220         66.0        5.2
    228         65.7        5.2
    236         65.8        8.4
    244         66.5        6.3
    252         66.5        6.5
    260         66.1        8.7
    268         67.5        7.3
