# nthreads  avg_rate       rms
      4          4.2        7.7
     12          5.7        1.7
     20          9.9        2.5
     28         13.6        2.3
     36         17.8        3.7
     44         22.3        2.3
     52         26.0        6.8
     60         29.9        4.5
     68         33.9        3.3
     76         36.8        5.9
     84         38.2        3.8
     92         41.1        3.1
    100         43.4        4.4
    108         46.0        6.5
    116         46.9        5.3
    124         48.0        6.6
    132         50.5        4.9
    140         49.7        6.9
    148         49.9        6.7
    156         48.4       10.8
    164         42.8       11.7
    172         41.7        8.7
    180         48.0       13.9
    188         45.5        7.0
    196         41.0        7.9
    204         48.7       11.8
    212         50.7       14.6
    220         43.9       12.3
    228         45.3        9.0
    236         43.0        7.4
    244         43.5        8.3
    252         43.1        7.7
    260         45.7       11.4
    268         46.0        9.3
