# nthreads  avg_rate       rms
      4          5.1       11.4
     12          6.0        2.1
     20         10.3        1.5
     28         14.4        2.9
     36         18.6        2.8
     44         22.9        2.7
     52         27.1        2.9
     60         31.0        3.0
     68         35.0        3.3
     76         37.4        3.9
     84         40.1        4.2
     92         42.7        6.6
    100         44.5        5.0
    108         48.5        5.1
    116         49.3        5.2
    124         53.6        5.8
    132         54.9        4.6
    140         56.6        3.5
    148         58.0        4.3
    156         58.9        6.5
    164         59.7        6.1
    172         61.2        7.1
    180         61.2        8.1
    188         62.1        6.5
    196         62.8        5.8
    204         63.1        6.5
    212         64.5        7.3
    220         62.6        6.5
    228         62.2       10.4
    236         59.4        6.0
    244         58.7        6.7
    252         61.8        8.3
    260         63.6       11.0
    268         62.8        8.6
