# nthreads  avg_rate       rms
      4         15.8        0.9
      8         31.8        1.1
     12         47.2        2.0
     16         63.1        1.7
     20         78.9        2.3
     24         94.7        1.9
     28        110.8        2.9
     32        126.4        2.6
     36        141.9        3.7
     40        157.4        3.1
     44        173.6        4.1
     48        188.3        2.6
     52        204.8        3.5
     56        221.4        3.4
     60        236.8        4.4
     64        252.6        2.6
     68        268.4        4.1
     72        283.0        4.0
     76        299.4        4.8
     80        314.7        5.8
     84        330.0        4.4
     88        344.7        4.9
     92        359.7        4.1
     96        375.6        5.1
    100        391.6        4.2
    104        407.3        3.2
    108        423.5        3.8
    112        438.0        5.1
    116        453.4        4.8
    120        470.9        6.5
    124        484.9        5.4
    128        500.0        5.2
    132        516.8        4.4
    136        532.2        4.9
    140        542.9        7.9
    144        542.0        7.4
    148        545.7       10.4
    152        541.6        8.7
    156        531.4       23.7
    160        534.3       20.7
    164        537.5       17.5
    168        509.7       31.5
    172        499.9       34.7
    176        524.0       33.2
    180        526.3       18.5
    184        496.1       43.5
    188        511.2       45.2
    192        480.9       34.4
    196        525.3       31.3
    200        494.8       50.8
    204        506.5       37.0
    208        503.4       47.8
    212        495.7       42.4
    216        448.6       19.1
    220        500.2       49.1
    224        471.1       38.4
    228        500.9       40.6
    232        507.9       52.6
    236        499.1       50.5
    240        481.2       50.9
    244        464.4       28.4
    248        520.5       50.3
    252        483.5       41.8
    256        481.3       44.3
    260        504.0       44.3
    264        493.1       45.7
    268        460.3       34.0
    272        460.0       24.8
