# nthreads  avg_rate       rms
      4          0.8        1.9
     12          0.5        0.7
     20          0.9        0.8
     28          1.3        1.3
     36          2.0        1.2
     44          2.1        1.5
     52          2.9        1.5
     60          3.6        1.7
     68          4.0        2.2
     76          4.4        1.9
     84          4.3        1.2
     92          4.8        2.3
    100          5.3        2.1
    108          5.1        2.2
    116          5.6        1.8
    124          6.1        2.6
    132          6.4        2.4
    140          6.8        2.6
    148          6.9        2.5
    156          6.7        2.5
    164          6.7        1.9
    172          6.9        2.2
    180          7.2        2.6
    188          7.4        3.0
    196          7.1        2.1
    204          7.2        2.2
    212          7.9        2.6
    220          7.3        1.6
    228          8.2        2.4
    236          7.5        3.2
    244          7.3        3.2
    252          7.2        2.3
    260          7.6        2.3
    268          7.8        1.9
