# nthreads  avg_rate       rms
      4          4.5        8.7
     12          6.3        2.5
     20         10.3        1.5
     28         14.9        3.4
     36         18.3        2.6
     44         23.1        2.3
     52         27.2        2.5
     60         30.8        3.7
     68         36.0        5.4
     76         37.9        4.4
     84         41.0        3.6
     92         42.9        3.8
    100         45.8        3.4
    108         47.7        6.7
    116         50.7        4.4
    124         52.5        6.8
    132         56.1        6.3
    140         57.4        4.5
    148         58.6        4.2
    156         59.3        5.5
    164         59.5        3.7
    172         61.0        6.2
    180         61.2        4.1
    188         63.1        4.7
    196         63.4        4.1
    204         64.8        6.1
    212         64.0        6.4
    220         63.3        8.6
    228         64.7        9.7
    236         65.5        9.6
    244         65.2        6.4
    252         64.6        7.1
    260         62.2        5.6
    268         62.0        7.9
