# nthreads  avg_rate       rms
      4       3027.5       83.6
      8       5405.7       94.6
     12       7639.5       70.5
     16      10149.1       81.6
     20      12640.7      110.1
     24      15089.9      154.8
     28      15875.7      107.7
     32      16605.4       46.9
     36      17341.6       83.8
     40      18091.5       79.7
     44      18802.6       70.9
     48      19556.6      111.9
     52      19583.7       95.7
     56      19520.8       90.4
     60      19496.2       98.5
     64      19413.7      173.5
     68      19304.7      154.1
     72      19218.8      172.8
     76      19081.2      204.4
     80      18975.5      226.9
     84      18894.1      192.3
     88      18703.5      130.2
