# nthreads  avg_rate       rms
      4         15.9        7.5
      8         27.1        1.2
     12         40.4        1.1
     16         53.3        1.8
     20         67.2        1.8
     24         80.3        2.3
     28         90.5        2.2
     32        102.9        2.8
     36        109.4        2.3
     40        117.4        2.4
     44        125.6        3.0
     48        128.8        3.1
     52        131.4        3.6
     56        135.9        3.0
     60        138.2        3.0
     64        140.8        3.0
     68        142.8        2.5
     72        144.7        1.9
     76        147.1        3.6
     80        149.2        4.1
