# nthreads  avg_rate       rms
      4          4.6        9.1
     12          6.2        1.6
     20         10.5        2.2
     28         14.2        2.4
     36         18.6        3.2
     44         22.8        4.3
     52         27.3        3.6
     60         31.3        2.8
     68         35.1        3.0
     76         38.2        5.3
     84         40.7        4.1
     92         43.0        4.0
    100         44.9        2.9
    108         48.0        5.3
    116         50.6        7.1
    124         53.2        5.5
    132         55.3        3.0
    140         57.5        5.5
    148         57.9        5.4
    156         58.8        5.3
    164         59.7        4.7
    172         60.3        8.5
    180         60.8        6.7
    188         62.8        8.4
    196         63.6        7.4
    204         64.3        4.3
    212         64.3        4.5
    220         63.2        7.8
    228         64.8        7.6
    236         62.9       10.5
    244         63.4        6.8
    252         63.5        9.6
    260         64.2       10.0
    268         61.2        7.1
