# nthreads  avg_rate       rms
      4         16.5        7.8
      8         28.6        1.3
     12         41.9        1.8
     16         55.7        1.7
     20         70.6        1.8
     24         84.2        2.6
     28         95.0        1.8
     32        108.4        2.4
     36        115.1        2.7
     40        123.8        3.9
     44        131.2        3.7
     48        134.5        2.2
     52        137.8        2.6
     56        136.2        4.4
     60        140.0        2.7
     64        143.6        3.2
     68        146.2        1.8
     72        147.5        3.8
     76        150.0        3.3
     80        151.5        3.3
