# nthreads  avg_rate       rms
      4          2.1        1.2
     12          5.8        3.3
     20          9.7        2.5
     28         13.8        3.2
     36         17.8        4.5
     44         22.1        3.6
     52         25.9        2.5
     60         30.7        3.9
     68         34.5        2.7
     76         37.5        3.5
     84         39.8        4.3
     92         42.5        7.1
    100         45.4        2.2
    108         47.7        4.5
    116         50.2        4.6
    124         52.7        2.9
    132         55.3        5.1
    140         57.7        5.1
    148         58.6        6.2
    156         60.4        5.2
    164         59.8        5.0
    172         61.5        5.8
    180         61.4        6.7
    188         63.9        7.9
    196         63.6        5.2
    204         64.6        3.9
    212         65.8        5.3
    220         66.6        5.4
    228         67.6        8.8
    236         68.1        6.8
    244         67.4        7.9
    252         68.1        6.0
    260         68.2        8.4
    268         68.4        7.1
