# nthreads  avg_rate       rms
      4          4.9       10.7
     12          6.2        1.4
     20         10.1        1.5
     28         14.5        2.3
     36         18.4        4.5
     44         23.3        1.9
     52         26.8        6.2
     60         30.9        3.4
     68         35.6        4.1
     76         38.1        3.7
     84         40.9        4.9
     92         43.4        3.5
    100         45.8        4.6
    108         49.0        4.9
    116         50.6        4.0
    124         54.1        5.9
    132         57.0        6.7
    140         57.7        5.5
    148         58.8        4.3
    156         59.5        5.2
    164         61.3        4.6
    172         61.6        6.2
    180         63.0        4.9
    188         62.8        5.0
    196         64.6        8.5
    204         64.8        6.3
    212         66.0        5.8
    220         63.6        6.8
    228         64.9        5.6
    236         65.4        6.9
    244         66.8        6.4
    252         65.2        4.2
    260         66.1        5.3
    268         66.9        8.0
