# nthreads  avg_rate       rms
      4          9.9        6.7
     12         24.2        1.6
     20         40.1        2.6
     28         56.5        1.8
     36         72.6        2.5
     44         88.8        2.3
     52        105.6        2.5
     60        119.1        4.4
     68        118.9        5.6
     76        120.1        4.4
     84        119.4        7.2
     92        101.7       17.6
    100        104.1       19.4
    108        115.5       12.7
    116        110.3       18.7
    124         98.6       22.7
    132         99.3       14.6
    140        113.6       13.5
    148        110.1       15.6
    156        104.6       14.0
    164        106.8       13.7
    172        114.8       12.9
    180        112.4       13.8
    188        106.0       15.7
    196        108.0       11.5
    204        107.2       13.3
    212        108.5       12.9
    220        110.0        9.7
    228        113.0        7.9
    236        101.0       15.2
    244        109.7       13.8
    252        108.6       12.4
    260        107.8       12.8
    268        111.1        9.1
