# nthreads  avg_rate       rms
      4         13.4        7.3
      8         22.8        1.5
     12         34.8        2.1
     16         42.0        2.8
     20         52.2        2.6
     24         59.2        3.0
     28         65.3        5.6
     32         71.9        4.2
     36         76.4        9.5
     40         82.3        2.9
     44         88.4        2.5
     48         90.8        8.2
     52         98.7        6.6
     56         97.6       18.5
     60        111.1        5.2
     64        114.0       10.9
     68         90.7       41.0
     72         97.1       36.7
     76        120.4       19.9
     80        122.6       15.3
