# nthreads  avg_rate       rms
      4         11.9        5.7
      8         22.5        1.5
     12         32.4        1.9
     16         42.1        2.4
     20         47.6        2.7
     24         56.1        3.8
     28         62.3        2.4
     32         67.8        2.2
     36         72.4        2.4
     40         79.6        2.5
     44         83.8        1.6
     48         90.3        2.5
     52         97.1        3.3
     56        107.0        3.8
     60        112.0        3.4
     64        108.9       29.2
     68        116.8       12.9
     72        120.2        4.3
     76        121.5        4.1
     80        120.6        4.6
