# nthreads  avg_rate       rms
      4         17.3        7.7
      8         29.0        1.5
     12         42.4        1.4
     16         56.2        1.7
     20         70.6        1.9
     24         83.9        2.1
     28         95.3        1.8
     32        108.4        3.7
     36        114.6        2.8
     40        123.4        3.6
     44        130.8        2.3
     48        132.0        3.7
     52        135.2        3.4
     56        139.6        2.8
     60        142.4        3.3
     64        143.5        3.4
     68        146.0        3.2
     72        147.8        3.2
     76        150.1        4.1
     80        151.6        3.1
