# nthreads  avg_rate       rms
      4        751.5      784.9
     12       1581.3       94.3
     20       2620.4      108.3
     28       3632.3      107.0
     36       4608.6      213.9
     44       5581.8      191.1
     52       6484.6      371.5
     60       7439.2      377.7
     68       8301.0      599.3
     76       8830.5      577.4
     84       9340.8      630.3
     92       9848.8      568.0
    100      10284.9      685.8
    108      10842.8      595.0
    116      11295.3      686.6
    124      11801.6      575.7
    132      12485.9       57.5
    140      12554.3      615.8
    148      12648.9      630.6
    156      12843.9      504.7
    164      12936.8      555.2
    172      13113.8      486.5
    180      13418.3      229.1
    188      13409.3      398.5
    196      13662.3      278.0
    204      13862.4      193.1
    212      13868.5      339.1
    220      14038.4      216.9
    228      14188.4      229.6
    236      14303.0      109.4
    244      14420.1       98.4
    252      14550.6       86.1
    260      14650.1       72.8
    268      14792.7       99.5
