# nthreads  avg_rate       rms
      4         15.2        8.1
      8         26.0        0.9
     12         38.2        1.3
     16         51.1        1.4
     20         64.1        1.9
     24         76.2        1.8
     28         86.8        2.6
     32         99.1        2.7
     36        104.8        2.4
     40        113.2        2.5
     44        118.7        2.3
     48        122.4        2.8
     52        121.7        4.1
     56        128.0        2.9
     60        130.7        2.9
     64        133.1        3.5
     68        135.0        3.5
     72        136.6        3.5
     76        138.2        4.4
     80        136.8        4.7
