# nthreads  avg_rate       rms
      4       2969.9       43.6
      8       5505.6       86.8
     12       7677.3       81.9
     16      10163.1       83.4
     20      12610.6      116.8
     24      15037.3      112.0
     28      15793.3       86.9
     32      16510.4      113.0
     36      17283.9       65.1
     40      17994.8      116.2
     44      18766.2       70.9
     48      19531.3       80.0
     52      19024.1      131.3
     56      18784.2      127.8
     60      18717.7      132.7
     64      18598.0      171.8
     68      18496.3       87.7
     72      18428.1      147.3
     76      18351.0      121.7
     80      18350.9      136.5
     84      18265.6      197.0
     88      18280.4      113.7
