JANA 2.0.0dev [Revision]
Loaded config file 'jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:threadstep = 4
  jana:debug_plugin_loading = 1
           jana:legacy_mode = 0
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
Rate: 16409Hz   -  ready to begin test
nthreads=20  rate=11834.3Hz  (avg = 11965.4 +/- 42.6886 Hz)
nthreads=20  rate=11868.5Hz  (avg = 11953.3 +/- 39.0335 Hz)
nthreads=20  rate=11895.5Hz  (avg = 11946.9 +/- 35.2205 Hz)
nthreads=20  rate=11981.3Hz  (avg = 11950.3 +/- 31.865 Hz)
nthreads=20  rate=11827.3Hz  (avg = 11939.1 +/- 30.8684 Hz)
nthreads=20  rate=11803.7Hz  (avg = 11927.8 +/- 30.2895 Hz)
nthreads=20  rate=11887.5Hz  (avg = 11924.7 +/- 28.1188 Hz)
nthreads=20  rate=12121.3Hz  (avg = 11938.8 +/- 29.408 Hz)
nthreads=20  rate=12109.4Hz  (avg = 11950.2 +/- 29.5656 Hz)
Setting NTHREADS = 24 ...
nthreads=24  rate=14031.4Hz  (avg = 14031.4 +/- 1.37409 Hz)
nthreads=24  rate=14290.5Hz  (avg = 14161 +/- 91.6093 Hz)
nthreads=24  rate=14255.5Hz  (avg = 14192.5 +/- 66.2724 Hz)
nthreads=24  rate=14278.5Hz  (avg = 14214 +/- 53.0781 Hz)
nthreads=24  rate=14278.1Hz  (avg = 14226.8 +/- 43.9861 Hz)
nthreads=24  rate=14213.5Hz  (avg = 14224.6 +/- 36.713 Hz)
nthreads=24  rate=14154.2Hz  (avg = 14214.5 +/- 32.818 Hz)
nthreads=24  rate=14118.1Hz  (avg = 14202.5 +/- 30.8488 Hz)
nthreads=24  rate=14233.9Hz  (avg = 14206 +/- 27.6186 Hz)
nthreads=24  rate=14281.9Hz  (avg = 14213.6 +/- 25.878 Hz)
nthreads=24  rate=14034.7Hz  (avg = 14197.3 +/- 28.1721 Hz)
nthreads=24  rate=14297Hz  (avg = 14205.6 +/- 27.0227 Hz)
nthreads=24  rate=14119.1Hz  (avg = 14199 +/- 25.7505 Hz)
nthreads=24  rate=14130Hz  (avg = 14194 +/- 24.3778 Hz)
nthreads=24  rate=14283.6Hz  (avg = 14200 +/- 23.4735 Hz)
Setting NTHREADS = 28 ...
nthreads=28  rate=15016.1Hz  (avg = 15016.1 +/- -nan Hz)
nthreads=28  rate=15108.3Hz  (avg = 15062.2 +/- 32.5786 Hz)
nthreads=28  rate=14981.1Hz  (avg = 15035.2 +/- 30.9779 Hz)
nthreads=28  rate=15048Hz  (avg = 15038.4 +/- 23.3899 Hz)
nthreads=28  rate=15065.9Hz  (avg = 15043.9 +/- 19.3463 Hz)
nthreads=28  rate=14991.9Hz  (avg = 15035.2 +/- 17.9614 Hz)
nthreads=28  rate=14978Hz  (avg = 15027 +/- 17.1576 Hz)
nthreads=28  rate=14942.8Hz  (avg = 15016.5 +/- 17.9565 Hz)
nthreads=28  rate=14970Hz  (avg = 15011.3 +/- 16.6901 Hz)
nthreads=28  rate=14946.3Hz  (avg = 15004.8 +/- 16.2386 Hz)
nthreads=28  rate=14852.9Hz  (avg = 14991 +/- 19.7829 Hz)
nthreads=28  rate=15066Hz  (avg = 14997.3 +/- 19.0952 Hz)
nthreads=28  rate=14964.3Hz  (avg = 14994.7 +/- 17.7926 Hz)
nthreads=28  rate=14936Hz  (avg = 14990.6 +/- 17.0087 Hz)
nthreads=28  rate=15023.9Hz  (avg = 14992.8 +/- 16.0192 Hz)
Setting NTHREADS = 32 ...
nthreads=32  rate=15915.2Hz  (avg = 15915.2 +/- 1.91279 Hz)
nthreads=32  rate=15762Hz  (avg = 15838.6 +/- 54.201 Hz)
nthreads=32  rate=15743.6Hz  (avg = 15806.9 +/- 44.428 Hz)
nthreads=32  rate=15827.6Hz  (avg = 15812.1 +/- 33.6265 Hz)
nthreads=32  rate=15795.2Hz  (avg = 15808.7 +/- 27.0673 Hz)
nthreads=32  rate=15772.6Hz  (avg = 15802.7 +/- 23.2127 Hz)
nthreads=32  rate=15827.9Hz  (avg = 15806.3 +/- 20.1698 Hz)
nthreads=32  rate=15719.9Hz  (avg = 15795.5 +/- 20.334 Hz)
nthreads=32  rate=15780.7Hz  (avg = 15793.9 +/- 18.1412 Hz)
nthreads=32  rate=15666.9Hz  (avg = 15781.2 +/- 20.286 Hz)
nthreads=32  rate=15821.8Hz  (avg = 15784.9 +/- 18.7755 Hz)
nthreads=32  rate=15796.9Hz  (avg = 15785.9 +/- 17.2365 Hz)
nthreads=32  rate=15675.2Hz  (avg = 15777.4 +/- 17.8889 Hz)
nthreads=32  rate=15796.5Hz  (avg = 15778.7 +/- 16.6628 Hz)
nthreads=32  rate=15762.5Hz  (avg = 15777.6 +/- 15.5861 Hz)
Setting NTHREADS = 36 ...
nthreads=36  rate=16550.5Hz  (avg = 16550.5 +/- 2.31456 Hz)
nthreads=36  rate=16418.6Hz  (avg = 16484.5 +/- 46.6206 Hz)
nthreads=36  rate=16545.6Hz  (avg = 16504.9 +/- 35.2391 Hz)
nthreads=36  rate=16561.1Hz  (avg = 16518.9 +/- 29.098 Hz)
nthreads=36  rate=16637.4Hz  (avg = 16542.6 +/- 31.4846 Hz)
nthreads=36  rate=16682.4Hz  (avg = 16565.9 +/- 33.769 Hz)
nthreads=36  rate=16523.5Hz  (avg = 16559.9 +/- 29.4807 Hz)
nthreads=36  rate=16625.7Hz  (avg = 16568.1 +/- 26.9172 Hz)
nthreads=36  rate=16573.6Hz  (avg = 16568.7 +/- 23.9308 Hz)
nthreads=36  rate=16509.7Hz  (avg = 16562.8 +/- 22.2536 Hz)
nthreads=36  rate=16423.7Hz  (avg = 16550.2 +/- 23.5482 Hz)
nthreads=36  rate=16576.3Hz  (avg = 16552.3 +/- 21.6875 Hz)
nthreads=36  rate=16513.8Hz  (avg = 16549.4 +/- 20.2218 Hz)
nthreads=36  rate=16572.8Hz  (avg = 16551 +/- 18.8473 Hz)
nthreads=36  rate=16513.6Hz  (avg = 16548.6 +/- 17.7552 Hz)
Setting NTHREADS = 40 ...
nthreads=40  rate=17357.2Hz  (avg = 17357.2 +/- -nan Hz)
nthreads=40  rate=17381.3Hz  (avg = 17369.3 +/- 8.55362 Hz)
nthreads=40  rate=17400.4Hz  (avg = 17379.6 +/- 10.1368 Hz)
nthreads=40  rate=17331.8Hz  (avg = 17367.7 +/- 12.8206 Hz)
nthreads=40  rate=17318.1Hz  (avg = 17357.8 +/- 13.5648 Hz)
nthreads=40  rate=17410Hz  (avg = 17366.5 +/- 13.8163 Hz)
nthreads=40  rate=17373.6Hz  (avg = 17367.5 +/- 11.8703 Hz)
nthreads=40  rate=17434.6Hz  (avg = 17375.9 +/- 13.022 Hz)
nthreads=40  rate=17410.3Hz  (avg = 17379.7 +/- 12.1204 Hz)
nthreads=40  rate=17357Hz  (avg = 17377.4 +/- 11.1168 Hz)
nthreads=40  rate=17403.5Hz  (avg = 17379.8 +/- 10.3595 Hz)
nthreads=40  rate=17474.5Hz  (avg = 17387.7 +/- 12.1326 Hz)
nthreads=40  rate=17437.3Hz  (avg = 17391.5 +/- 11.7848 Hz)
nthreads=40  rate=17338.7Hz  (avg = 17387.7 +/- 11.5323 Hz)
