# nthreads  avg_rate       rms
      4         18.7        8.4
      8         33.0        1.3
     12         49.1        1.3
     16         65.7        1.8
     20         82.3        2.0
     24         98.2        1.6
     28        114.9        1.9
     32        131.1        2.6
     36        146.6        3.4
     40        163.8        3.2
     44        179.9        3.3
     48        196.5        2.7
     52        212.6        3.7
     56        228.9        3.4
     60        245.2        3.7
     64        261.7        3.3
     68        277.6        3.4
     72        293.3        4.0
     76        311.1        3.3
     80        325.3        4.4
