# nthreads  avg_rate       rms
      4          9.8        5.5
      8         16.1        1.7
     12         23.0        1.1
     16         30.1        1.2
     20         37.0        1.4
     24         43.6        2.0
     28         49.9        2.1
     32         57.2        3.8
     36         64.4        9.6
     40         63.6        8.1
     44         69.5        4.9
     48         75.4        7.0
     52         78.5        5.0
     56         81.7        4.4
     60         84.4        3.9
     64         88.3        9.1
     68         86.6        7.5
     72         93.5       17.9
     76         92.2       12.4
     80         91.4        4.3
