# nthreads  avg_rate       rms
      4          2.2        0.7
     12          5.6        2.1
     20          9.8        2.1
     28         13.6        2.5
     36         18.2        2.3
     44         22.3        2.7
     52         26.2        3.2
     60         30.4        3.7
     68         34.8        3.7
     76         38.6        7.6
     84         40.6        4.1
     92         44.0        5.1
    100         45.9        4.1
    108         48.3        6.4
    116         51.0        5.3
    124         53.9        4.7
    132         56.3        3.2
    140         58.3        4.9
    148         58.8        5.2
    156         60.4        5.2
    164         60.6        6.1
    172         61.4        5.5
    180         62.8       10.1
    188         63.2       10.1
    196         65.3        8.5
    204         64.4        4.8
    212         67.2        8.4
    220         67.4        5.7
    228         68.5        5.0
    236         70.1        6.5
    244         70.8        6.5
    252         72.9        6.2
    260         72.7        6.1
    268         75.0        9.1
