# nthreads  avg_rate       rms
      4          3.9        7.8
     12          5.0        2.0
     20          8.3        1.6
     28         11.8        2.9
     36         14.5        5.6
     44         18.4        4.0
     52         21.6        3.3
     60         24.1        5.9
     68         26.7        5.7
     76         30.0        5.5
     84         30.9        5.6
     92         32.9        6.5
    100         34.9       11.6
    108         35.1        5.3
    116         36.6        6.9
    124         40.2       14.3
    132         39.1        7.5
    140         40.6       10.9
    148         40.7       12.9
    156         42.2       15.1
    164         41.3        9.3
    172         42.4        9.5
    180         43.4        8.8
    188         41.8        9.9
    196         45.5        9.6
    204         44.3       20.0
    212         44.8       10.5
    220         44.4       11.9
    228         43.7        8.8
    236         44.5       15.2
    244         45.2        6.7
    252         45.3       11.8
    260         45.0       12.1
    268         46.3       12.2
