# nthreads     rate
      4         28.4
      4         12.0
      4         12.0
      4         11.0
      4         11.0
      4         14.0
      4         12.0
      4         11.0
      4         14.0
      4         11.0
      4         10.0
      4         13.0
      4         10.0
      4         12.0
      4         13.0
      8         20.5
      8         19.0
      8         23.0
      8         23.0
      8         20.0
      8         22.0
      8         24.0
      8         23.0
      8         22.0
      8         21.0
      8         23.0
      8         22.0
      8         23.0
      8         19.0
      8         24.5
     12         30.0
     12         28.0
     12         33.0
     12         31.0
     12         32.0
     12         31.0
     12         32.0
     12         32.0
     12         29.0
     12         30.0
     12         33.0
     12         29.0
     12         30.0
     12         31.0
     12         33.0
     16         40.0
     16         42.0
     16         41.0
     16         41.0
     16         41.0
     16         43.0
     16         39.0
     16         42.9
     16         43.0
     16         42.0
     16         41.0
     16         44.0
     16         38.0
     16         43.0
     16         42.0
     20         51.5
     20         51.0
     20         53.0
     20         54.0
     20         50.0
     20         51.0
     20         52.0
     20         52.0
     20         53.0
     20         49.0
     20         54.0
     20         50.0
     20         51.0
     20         54.0
     20         49.0
     24         62.5
     24         61.0
     24         65.0
     24         63.0
     24         61.0
     24         67.0
     24         61.0
     24         66.0
     24         62.0
     24         60.0
     24         64.8
     24         62.0
     24         61.0
     24         63.0
     24         59.0
     28         65.5
     28         64.0
     28         66.0
     28         65.0
     28         66.0
     28         62.0
     28         66.0
     28         66.0
     28         67.0
     28         61.0
     28         68.0
     28         65.0
     28         68.0
     28         61.0
     28         69.2
     32         68.0
     32         68.0
     32         68.0
     32         71.9
     32         70.0
     32         67.0
     32         70.0
     32         67.0
     32         66.0
     32         70.0
     32         64.0
     32         69.0
     32         69.0
     32         66.9
     32         69.0
     36         68.5
     36         71.0
     36         69.4
     36         77.0
     36         70.0
     36         67.0
     36         72.9
     36         72.0
     36         70.0
     36         73.0
     36         66.0
     36         73.0
     36         73.9
     36         67.0
     36         70.0
     40         73.4
     40         79.6
     40         69.9
     40         77.9
     40         70.9
     40         74.9
     40         71.6
     40         75.9
     40         73.9
     40         75.9
     40         73.9
     40         71.6
     40         72.9
     40         79.0
     40         71.9
     44         76.4
     44         72.6
     44         79.9
     44         75.9
     44         75.9
     44         79.6
     44         76.9
     44         72.9
     44         74.9
     44         77.9
     44         81.6
     44         71.9
     44         80.9
     44         77.9
     44         73.0
     48         80.7
     48         71.7
     48         87.9
     48         74.7
     48         81.6
     48         77.9
     48         80.9
     48         78.9
     48         80.9
     48         76.6
     48         83.9
     48         77.9
     48         79.9
     48         77.9
     48         81.6
