# nthreads  avg_rate       rms
      4         17.1        7.5
      8         28.6        1.4
     12         42.0        2.4
     16         55.9        1.9
     20         69.8        2.7
     24         83.8        2.6
     28         94.5        1.8
     32        107.8        1.5
     36        114.0        3.2
     40        123.2        2.2
     44        130.4        2.1
     48        134.2        2.5
     52        130.9        4.9
     56        138.5        4.8
     60        145.4        2.6
     64        147.6        2.7
     68        148.8        2.9
     72        151.8        1.9
     76        153.4        3.5
     80        156.5        3.2
