# nthreads  avg_rate       rms
      4          4.6        9.3
     12          6.2        2.0
     20         10.5        2.6
     28         14.5        2.9
     36         18.3        2.4
     44         23.0        3.4
     52         27.0        3.9
     60         31.8        2.2
     68         35.0        4.3
     76         38.0        3.4
     84         40.2        3.7
     92         43.5        4.3
    100         46.5        5.5
    108         48.7        3.8
    116         51.2        4.7
    124         53.9        4.8
    132         55.6        6.0
    140         58.0        5.8
    148         59.5        4.7
    156         59.5        4.7
    164         60.3        6.0
    172         62.1        7.1
    180         62.2        4.1
    188         63.7        6.4
    196         63.8        5.7
    204         65.0        4.7
    212         66.3        6.3
    220         66.7        6.6
    228         68.7        2.8
    236         65.7        7.5
    244         67.5        6.5
    252         67.3        6.8
    260         66.0        7.1
    268         68.5       11.6
