JANA 2.0.0dev [Revision]
Loaded config file '/global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp2/jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/global/homes/n/nbrei/JANA2/Linux-x86_64-cc18.0.1/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:resultsdir = /global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp2
       benchmark:threadstep = 8
  jana:debug_plugin_loading = 1
           jana:legacy_mode = 0
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
Rate: 4020.35Hz   -  ready to begin test
nthreads=36  rate=4737.17Hz  (avg = 4516.25 +/- 128.009 Hz)
nthreads=36  rate=4695.86Hz  (avg = 4546.18 +/- 110.119 Hz)
nthreads=36  rate=4787.64Hz  (avg = 4580.68 +/- 99.6437 Hz)
nthreads=36  rate=4714.66Hz  (avg = 4597.43 +/- 88.5845 Hz)
nthreads=36  rate=4738.55Hz  (avg = 4613.11 +/- 80.1176 Hz)
nthreads=36  rate=4703.34Hz  (avg = 4622.13 +/- 72.6122 Hz)
nthreads=36  rate=4686.67Hz  (avg = 4628 +/- 66.2477 Hz)
nthreads=36  rate=4752.11Hz  (avg = 4638.34 +/- 61.5291 Hz)
nthreads=36  rate=4745.37Hz  (avg = 4646.57 +/- 57.3443 Hz)
nthreads=36  rate=4743.09Hz  (avg = 4653.47 +/- 53.6612 Hz)
nthreads=36  rate=4555.19Hz  (avg = 4646.92 +/- 50.4821 Hz)
Setting NTHREADS = 44 ...
nthreads=44  rate=4806.23Hz  (avg = 4806.23 +/- 0.261586 Hz)
nthreads=44  rate=5559.6Hz  (avg = 5182.91 +/- 266.355 Hz)
nthreads=44  rate=5628.7Hz  (avg = 5331.51 +/- 215.061 Hz)
nthreads=44  rate=5618.91Hz  (avg = 5403.36 +/- 172.882 Hz)
nthreads=44  rate=5696.53Hz  (avg = 5461.99 +/- 147.915 Hz)
nthreads=44  rate=5582.95Hz  (avg = 5482.15 +/- 124.629 Hz)
nthreads=44  rate=5718.45Hz  (avg = 5515.91 +/- 111.302 Hz)
nthreads=44  rate=5159.33Hz  (avg = 5471.34 +/- 105.939 Hz)
nthreads=44  rate=5712.68Hz  (avg = 5498.15 +/- 97.5031 Hz)
nthreads=44  rate=5466.03Hz  (avg = 5494.94 +/- 87.8057 Hz)
nthreads=44  rate=5574.69Hz  (avg = 5502.19 +/- 80.1221 Hz)
nthreads=44  rate=5675.17Hz  (avg = 5516.6 +/- 74.7308 Hz)
nthreads=44  rate=4851.42Hz  (avg = 5465.44 +/- 84.7073 Hz)
