# nthreads  avg_rate       rms
      4          6.3        6.9
      8          8.8        1.4
     12         11.2        1.7
     16         16.3        1.6
     20         19.2        1.9
     24         20.5        1.8
     28         22.4        2.1
     32         24.6        2.9
     36         27.7        2.3
     40         30.8        3.3
     44         32.0        3.1
     48         33.7        2.8
     52         35.3        3.1
     56         37.1        3.7
     60         39.3        2.4
     64         41.1        3.1
     68         42.0        2.2
     72         43.6        2.6
     76         44.0        2.0
     80         44.6        3.1
