# nthreads     rate
      4         31.9
      4          5.8
      4          4.0
      4          3.0
      4          4.0
      4          5.0
      4          5.0
      4          4.0
      4          6.0
      4          6.0
      4          3.0
      4          5.0
      4          3.0
      4          5.0
      4          4.0
      8          8.5
      8          6.0
      8          7.0
      8          9.0
      8         11.0
      8         10.0
      8          9.0
      8          8.0
      8          9.0
      8          9.0
      8          9.0
      8          6.9
      8         11.0
      8          9.0
      8         10.0
     12         11.5
     12         11.9
     12         10.0
     12         12.0
     12         14.0
     12          8.0
     12         13.0
     12         11.0
     12          9.0
     12         14.0
     12          9.0
     12         11.0
     12         12.0
     12         10.9
     12         10.0
     16         15.5
     16         15.0
     16         14.0
     16         20.0
     16         16.0
     16         15.0
     16         16.0
     16         18.0
     16         17.0
     16         13.6
     16         17.0
     16         18.0
     16         18.0
     16         16.0
     16         15.7
     20         17.5
     20         19.0
     20         16.0
     20         21.0
     20         18.0
     20         16.0
     20         19.0
     20         20.0
     20         19.0
     20         23.0
     20         19.0
     20         20.0
     20         18.0
     20         21.0
     20         22.0
     24         18.4
     24         20.9
     24         19.0
     24         22.0
     24         20.0
     24         21.0
     24         20.0
     24         23.0
     24         20.0
     24         21.0
     24         23.0
     24         18.0
     24         20.9
     24         23.0
     24         17.0
     28         24.0
     28         18.0
     28         24.9
     28         23.9
     28         19.0
     28         25.0
     28         25.0
     28         23.0
     28         21.0
     28         22.9
     28         22.0
     28         23.0
     28         21.0
     28         23.0
     28         20.3
     32         26.0
     32         18.0
     32         25.0
     32         29.0
     32         23.0
     32         25.0
     32         25.0
     32         21.0
     32         30.0
     32         23.0
     32         23.8
     32         25.0
     32         23.0
     32         24.0
     32         28.0
     36         24.5
     36         28.4
     36         31.0
     36         28.0
     36         24.0
     36         30.0
     36         30.9
     36         25.0
     36         29.0
     36         29.0
     36         24.0
     36         28.0
     36         29.0
     36         25.9
     36         29.0
     40         31.2
     40         29.9
     40         31.0
     40         30.0
     40         34.0
     40         26.0
     40         30.0
     40         33.0
     40         31.8
     40         27.0
     40         34.9
     40         31.0
     40         23.0
     40         32.8
     40         36.0
     44         28.6
     44         30.0
     44         36.9
     44         32.0
     44         35.0
     44         25.0
     44         35.0
     44         31.8
     44         36.0
     44         30.9
     44         33.0
     44         33.0
     44         32.6
     44         32.0
     44         28.0
     48         33.4
     48         29.0
     48         37.0
     48         32.0
     48         35.0
     48         36.0
     48         28.9
     48         36.0
     48         35.0
     48         32.0
     48         32.0
     48         33.8
     48         30.0
     48         37.0
     48         37.9
     52         33.0
     52         30.9
     52         39.9
     52         37.8
     52         31.9
     52         36.9
     52         36.9
     52         32.0
     52         39.0
     52         30.9
     52         39.0
     52         33.0
     52         37.0
     52         33.8
     52         37.0
     56         38.6
     56         30.0
     56         35.9
     56         43.0
     56         30.0
     56         41.9
     56         37.0
     56         40.0
     56         34.0
     56         36.8
     56         41.0
     56         34.0
     56         37.0
     56         38.0
     56         39.0
     60         36.9
     60         36.9
     60         40.0
     60         41.9
     60         39.8
     60         36.9
     60         41.9
     60         37.0
     60         41.0
     60         44.0
     60         38.9
     60         39.9
     60         42.0
     60         35.0
     60         38.0
     64         43.5
     64         37.9
     64         44.0
     64         42.0
     64         40.0
     64         39.0
     64         42.0
     64         46.8
     64         33.0
     64         42.0
     64         41.0
     64         41.0
     64         43.8
     64         39.9
     64         41.0
     68         41.8
     68         41.0
     68         41.0
     68         42.0
     68         46.0
     68         39.9
     68         41.9
     68         43.0
     68         38.0
     68         45.0
     68         39.0
     68         44.0
     68         43.0
     68         45.0
     68         40.0
     72         43.0
     72         43.0
     72         43.0
     72         44.8
     72         45.0
     72         38.3
     72         49.0
     72         40.0
     72         45.0
     72         46.0
     72         41.0
     72         44.9
     72         41.0
     72         46.0
     72         44.0
     76         45.5
     76         43.0
     76         44.8
     76         44.0
     76         45.9
     76         44.8
     76         43.9
     76         45.8
     76         38.9
     76         43.0
     76         45.0
     76         45.0
     76         45.0
     76         46.0
     76         39.8
     80         45.6
     80         41.0
     80         49.0
     80         42.7
     80         45.8
     80         44.9
     80         47.9
     80         41.0
     80         46.0
     80         39.9
     80         50.0
     80         41.0
     80         47.0
     80         42.0
     80         45.0
