# nthreads  avg_rate       rms
      4          5.4       12.4
     12          6.4        2.8
     20         10.6        1.9
     28         14.6        2.3
     36         19.0        4.0
     44         23.6        3.8
     52         27.5        2.6
     60         31.5        2.2
     68         35.7        5.8
     76         38.1        3.0
     84         40.6        5.2
     92         43.1        8.0
    100         46.1        6.7
    108         48.5        5.6
    116         51.5        7.4
    124         54.5        6.0
    132         56.5        3.3
    140         58.4        4.7
    148         59.1        4.7
    156         60.0        4.2
    164         61.8        6.3
    172         61.6        6.3
    180         62.9        6.1
    188         63.6        7.1
    196         64.7        5.3
    204         65.7        4.5
    212         67.0        6.0
    220         67.3        9.0
    228         69.4        5.7
    236         68.5        2.1
    244         67.4        1.3
    252         66.6        1.3
    260         65.9        1.4
    268         65.2        1.4
