# nthreads     rate
      4         14.0
      4         16.0
      4         13.0
      4         15.0
      4         16.0
      4         15.0
      4         14.0
      4         16.0
      4         15.0
      4         15.0
      4         14.0
      4         15.0
      4         15.0
      4         15.0
      4         14.0
      8         28.5
      8         30.0
      8         30.0
      8         30.0
      8         31.0
      8         27.0
      8         33.0
      8         30.0
      8         28.0
      8         31.0
      8         31.0
      8         29.0
      8         31.0
      8         30.0
      8         27.0
     12         42.0
     12         42.0
     12         43.0
     12         47.0
     12         45.0
     12         44.0
     12         45.0
     12         42.0
     12         47.0
     12         44.0
     12         44.0
     12         47.0
     12         43.0
     12         47.0
     12         42.0
     16         56.0
     16         61.0
     16         60.0
     16         60.0
     16         59.0
     16         59.0
     16         60.0
     16         60.0
     16         59.0
     16         58.0
     16         57.0
     16         58.0
     16         60.0
     16         61.0
     16         60.0
     20         72.0
     20         76.0
     20         71.0
     20         75.0
     20         76.0
     20         77.0
     20         73.0
     20         77.0
     20         69.0
     20         76.0
     20         73.0
     20         74.0
     20         77.0
     20         73.0
     20         72.0
     24         86.9
     24         90.0
     24         88.0
     24         91.0
     24         88.0
     24         89.0
     24         90.0
     24         88.0
     24         90.0
     24         88.0
     24         84.0
     24         92.0
     24         86.0
     24         91.0
     24         91.0
     28         99.4
     28        104.0
     28        106.0
     28        105.0
     28        104.0
     28        101.0
     28        102.0
     28        104.0
     28        108.0
     28        105.0
     28        103.0
     28        106.0
     28        108.0
     28         96.0
     28        104.0
     32        117.4
     32        119.9
     32        120.9
     32        114.9
     32        118.9
     32        112.9
     32        118.9
     32        114.9
     32        123.9
     32        117.9
     32        118.9
     32        115.0
     32        114.0
     32        118.9
     32        119.9
     36        131.9
     36        133.9
     36        133.9
     36        135.9
     36        128.9
     36        136.9
     36        136.9
     36        130.9
     36        135.9
     36        131.9
     36        129.9
     36        134.9
     36        129.9
     36        134.9
     36        132.9
     40        146.4
     40        150.9
     40        144.9
     40        147.9
     40        146.9
     40        147.9
     40        151.9
     40        149.9
     40        150.9
     40        149.9
     40        147.9
     40        144.9
     40        146.9
     40        147.9
     40        151.9
     44        157.3
     44        171.9
     44        156.9
     44        162.9
     44        159.9
     44        161.9
     44        165.9
     44        166.9
     44        162.9
     44        159.9
     44        161.9
     44        161.9
     44        161.9
     44        167.9
     44        161.9
     48        179.3
     48        174.9
     48        176.9
     48        177.9
     48        173.9
     48        181.9
     48        175.9
     48        178.9
     48        173.9
     48        174.9
     48        181.9
     48        177.9
     48        177.9
     48        169.9
     48        178.9
     52        192.8
     52        189.8
     52        191.9
     52        189.9
     52        194.9
     52        195.9
     52        192.9
     52        189.9
     52        187.9
     52        200.9
     52        189.9
     52        193.9
     52        194.9
     52        186.9
     52        195.9
     56        203.8
     56        209.8
     56        208.8
     56        203.8
     56        205.8
     56        205.8
     56        210.8
     56        203.8
     56        202.8
     56        206.8
     56        207.8
     56        209.9
     56        204.8
     56        205.8
     56        206.8
     60        219.8
     60        220.8
     60        224.8
     60        223.8
     60        220.8
     60        222.8
     60        220.8
     60        222.8
     60        219.8
     60        220.8
     60        226.8
     60        222.8
     60        220.8
     60        216.8
     60        220.8
     64        233.7
     64        240.8
     64        242.8
     64        236.8
     64        228.8
     64        241.8
     64        233.8
     64        231.8
     64        240.8
     64        232.8
     64        240.8
     64        232.8
     64        241.8
     64        231.8
     64        235.8
     68        248.6
     68        248.8
     68        264.7
     68        244.8
     68        251.8
     68        247.8
     68        252.8
     68        251.8
     68        246.8
     68        251.8
     68        257.8
     68        244.8
     68        249.8
     68        253.8
     68        251.8
     72        263.1
     72        263.5
     72        262.4
     72        268.4
     72        266.4
     72        262.5
     72        262.5
     72        272.4
     72        259.5
     72        269.5
     72        262.5
     72        274.5
     72        264.5
     72        256.5
     72        267.5
     76        279.9
     76        276.7
     76        281.7
     76        277.7
     76        282.7
     76        281.7
     76        272.7
     76        280.7
     76        276.7
     76        284.7
     76        284.7
     76        267.7
     76        285.7
     76        282.7
     76        284.7
     80        290.6
     80        289.7
     80        294.7
     80        291.7
     80        291.7
     80        295.7
     80        295.7
     80        292.7
     80        296.7
     80        289.7
     80        296.7
     80        289.7
     80        289.7
     80        294.7
     80        300.7
     84        303.6
     84        314.6
     84        308.6
     84        299.6
     84        304.6
     84        308.3
     84        314.7
     84        300.7
     84        307.7
     84        307.7
     84        315.7
     84        302.7
     84        306.7
     84        305.7
     84        318.7
     88        317.6
     88        330.7
     88        315.7
     88        320.7
     88        326.7
     88        322.7
     88        325.7
     88        318.7
     88        329.7
     88        312.7
     88        325.7
     88        322.7
     88        323.7
     88        321.7
     88        318.7
     92        339.0
     92        326.7
     92        340.6
     92        324.7
     92        342.6
     92        337.6
     92        332.7
     92        330.6
     92        339.6
     92        331.7
     92        343.6
     92        340.6
     92        327.7
     92        341.6
     92        335.6
     96        348.5
     96        343.5
     96        356.5
     96        351.5
     96        345.5
     96        358.5
     96        350.5
     96        354.5
     96        349.5
     96        341.5
     96        355.5
     96        358.5
     96        354.5
     96        341.5
     96        346.5
    100        365.4
    100        363.5
    100        365.5
    100        367.5
    100        365.5
    100        361.5
    100        367.5
    100        362.5
    100        360.5
    100        372.5
    100        363.5
    100        366.4
    100        361.5
    100        367.5
    100        365.5
    104        379.9
    104        375.4
    104        383.4
    104        380.4
    104        372.5
    104        374.4
    104        380.4
    104        389.4
    104        378.4
    104        375.4
    104        367.4
    104        381.4
    104        383.4
    104        387.4
    104        373.5
    108        392.9
    108        394.4
    108        387.4
    108        395.4
    108        396.4
    108        388.4
    108        396.4
    108        389.4
    108        393.4
    108        398.4
    108        391.4
    108        392.4
    108        396.4
    108        394.4
    108        390.4
    112        404.8
    112        401.2
    112        403.4
    112        417.3
    112        410.3
    112        411.3
    112        400.4
    112        408.3
    112        410.4
    112        408.3
    112        406.3
    112        408.4
    112        408.3
    112        401.4
    112        410.3
    116        417.7
    116        428.3
    116        423.3
    116        421.3
    116        423.3
    116        419.3
    116        420.3
    116        429.3
    116        416.3
    116        425.3
    116        423.3
    116        427.3
    116        419.3
    116        423.3
    116        414.3
    120        437.7
    120        436.2
