# nthreads  avg_rate       rms
      4         14.8        0.8
      8         29.8        1.6
     12         44.3        1.9
     16         59.2        1.4
     20         74.0        2.4
     24         88.8        2.1
     28        103.7        3.0
     32        117.8        2.9
     36        133.3        2.5
     40        148.5        2.2
     44        162.8        3.8
     48        177.0        3.1
     52        192.5        3.5
     56        206.5        2.4
     60        221.7        2.3
     64        236.5        4.5
     68        251.2        4.9
     72        265.0        4.6
     76        280.0        4.8
     80        293.4        3.2
     84        308.0        5.5
     88        322.2        4.9
     92        335.7        6.0
     96        350.4        5.6
    100        365.1        3.0
    104        378.9        5.7
    108        393.2        3.1
    112        407.4        4.4
    116        422.1        4.2
    120        436.4        3.8
    124        451.1        6.1
    128        465.8        7.3
    132        480.4        5.7
    136        494.5        5.7
    140        505.7        5.0
    144        515.9        6.2
    148        526.0        9.9
    152        539.4        5.7
    156        552.6        6.1
    160        542.1       16.3
    164        539.2       12.4
    168        503.4       25.9
    172        501.2       40.6
    176        504.9       29.7
    180        520.9       35.8
    184        460.4       25.0
    188        502.5       39.3
    192        520.4       37.7
    196        489.6       39.9
    200        499.3       37.4
    204        514.2       42.1
    208        465.7       30.6
    212        534.2       45.7
    216        486.8       46.7
    220        471.3       36.2
    224        473.0       47.1
    228        494.7       47.0
    232        480.2       42.2
    236        465.6       30.7
    240        477.4       32.9
    244        452.8       15.0
    248        459.3       44.0
    252        480.1       38.9
    256        447.7       22.8
    260        452.0       30.4
    264        479.5       34.8
    268        467.0       43.2
    272        466.5       23.8
